timestamp,function,duration_seconds
2026-06-14 18:56:31.955908,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:32.221500,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:32.466423,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:32.746616,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:32.986237,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:33.252021,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:33.490524,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:34.017488,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:34.035018,apply_high_pass_filter,0.0015,4096
2026-06-14 18:56:34.479769,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:34.531803,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:34.938286,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:35.313751,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:35.823643,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:35.837337,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:35.850292,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:36.062965,apply_high_pass_filter,0.0011,4096
2026-06-14 18:56:36.410676,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:36.913598,apply_high_pass_filter,0.0014,4096
2026-06-14 18:56:36.928503,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:37.286260,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:37.338368,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:37.661056,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:37.840882,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:38.101615,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:38.415996,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:38.606338,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:39.200229,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:39.211185,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:39.551762,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:39.636264,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:40.187536,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:40.199140,apply_high_pass_filter,0.0012,4096
2026-06-14 18:56:40.401710,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:40.667669,apply_high_pass_filter,0.0013,4096
2026-06-14 18:56:40.936853,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:41.166859,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:41.426556,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:57.542881,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:57.968018,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:57.979215,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:58.383632,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:58.882744,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:58.893656,apply_high_pass_filter,0.0009,4096
2026-06-14 18:56:59.012870,apply_high_pass_filter,0.001,4096
2026-06-14 18:56:59.480454,apply_high_pass_filter,0.0014,4096
2026-06-14 18:56:59.533086,apply_high_pass_filter,0.0008,4096
2026-06-14 18:56:59.886678,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:00.279486,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:00.294649,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:00.436236,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:00.700947,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:01.115331,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:01.197874,apply_high_pass_filter,0.0015,4096
2026-06-14 18:57:01.441859,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:01.756105,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:02.181343,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:02.863494,apply_high_pass_filter,0.0024,4096
2026-06-14 18:57:02.880500,apply_high_pass_filter,0.0019,4096
2026-06-14 18:57:02.900791,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:03.005929,apply_high_pass_filter,0.0018,4096
2026-06-14 18:57:03.293683,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:03.510131,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:03.771026,apply_high_pass_filter,0.0013,4096
2026-06-14 18:57:04.025232,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:04.274031,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:04.534743,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:04.793865,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:05.054646,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:05.293320,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:05.593206,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:05.809198,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:06.063991,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:06.323740,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:06.580353,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:06.833734,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:07.440114,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:07.451383,apply_high_pass_filter,0.0008,4096
2026-06-14 18:57:07.604803,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:07.858909,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:08.364961,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:08.377739,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:08.624470,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:08.884209,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:09.448881,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:09.461184,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:09.663603,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:09.888737,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:10.163622,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:10.423604,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:10.673606,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:10.938398,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:11.188599,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:11.449187,apply_high_pass_filter,0.0013,4096
2026-06-14 18:57:11.698987,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:11.954258,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:12.218898,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:12.508848,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:12.728736,apply_high_pass_filter,0.0009,4096
2026-06-14 18:57:12.984531,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:13.236390,apply_high_pass_filter,0.001,4096
2026-06-14 18:57:13.510938,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:14.132967,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:14.147940,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:14.250677,apply_high_pass_filter,0.0011,4096
2026-06-14 18:57:14.523490,apply_high_pass_filter,0.0013,4096
2026-06-14 18:57:15.107217,apply_high_pass_filter,0.0014,4096
2026-06-14 18:57:15.122274,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:15.290823,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:15.546225,apply_high_pass_filter,0.0012,4096
2026-06-14 18:57:16.247176,apply_high_pass_filter,0.0033,4096
